CTUID,Geography,Total - Sex,  Male,  Female
5350801.02,0801.02 (5350801.02)   00000 (  2.1%),5880,2880,3000
5350802.01,0802.01 (5350802.01)   00000 (  2.0%),3830,1905,1925
5350802.02,0802.02 (5350802.02)   00000 (  3.9%),5675,2750,2925
5350803.03,0803.03 (5350803.03)   00000 (  2.6%),5385,2680,2695
5350803.04,0803.04 (5350803.04)   00000 (  2.5%),5920,2915,3010
5350803.05,0803.05 (5350803.05)   00000 (  2.1%),6835,3365,3465
5350803.06,0803.06 (5350803.06)   00000 (  1.5%),5560,2735,2830
5350804.01,0804.01 (5350804.01)   00000 (  2.0%),7245,3525,3715
5350804.05,0804.05 (5350804.05)   00000 (  1.5%),6785,3350,3435
5350804.06,0804.06 (5350804.06)   00000 (  1.4%),3040,1480,1560
5350804.07,0804.07 (5350804.07)   00100 (  7.8%),4150,1870,2285
5350804.08,0804.08 (5350804.08)   00000 (  1.7%),3660,1810,1850
5350804.10,0804.10 (5350804.10)   00000 (  3.0%),4955,2215,2740
5350804.11,0804.11 (5350804.11)   00000 (  5.0%),5535,2565,2965
5350804.12,0804.12 (5350804.12)   00000 (  2.5%),6695,3270,3425
5350804.13,0804.13 (5350804.13)   00000 (  2.3%),5010,2505,2505
5350805.04,0805.04 (5350805.04)   00000 (  1.8%),7230,3605,3625
5350805.06,0805.06 (5350805.06)   00000 (  3.5%),6030,2830,3200
5350805.09,0805.09 (5350805.09)   00000 (  2.1%),5670,2750,2915
5350805.10,0805.10 (5350805.10)   00000 (  2.1%),6450,3185,3275
5350805.12,0805.12 (5350805.12)   00000 (  2.9%),8670,4120,4555
5350805.14,0805.14 (5350805.14)   00000 (  1.7%),8725,4305,4420
5350805.15,0805.15 (5350805.15)   00000 (  2.4%),9415,4600,4815
5350805.16,0805.16 (5350805.16)   00000 (  1.6%),7355,3590,3765
5350805.17,0805.17 (5350805.17)   00000 (  1.6%),5635,2725,2910
5350805.18,0805.18 (5350805.18)   00000 (  2.2%),3050,1490,1555
5350805.19,0805.19 (5350805.19)   00000 (  2.5%),1855,875,975
5350805.20,0805.20 (5350805.20)   00000 (  1.9%),4735,2295,2435
5350805.21,0805.21 (5350805.21)   00000 (  2.4%),1680,815,865
5350806.00,0806.00 (5350806.00)   00000 (  2.5%),1555,800,755
5350807.00,0807.00 (5350807.00)   00000 (  2.9%),2405,1245,1160
5350810.01,0810.01 (5350810.01)   00000 (  3.5%),3890,1825,2065
5350810.02,0810.02 (5350810.02)   00000 (  2.8%),2405,1130,1275
5350810.03,0810.03 (5350810.03)   00000 (  2.3%),3090,1445,1655
5350810.04,0810.04 (5350810.04)   00000 (  2.4%),5475,2595,2885
5350810.05,0810.05 (5350810.05)   00000 (  2.4%),3605,1765,1835
5350811.00,0811.00 (5350811.00)   00000 (  4.8%),3750,1735,2010
5350812.00,0812.00 (5350812.00)   00000 (  2.0%),6160,3005,3155
5350820.03,0820.03 (5350820.03)   00000 (  2.5%),3885,1875,2015
5350820.04,0820.04 (5350820.04)   00000 (  2.0%),2765,1355,1410
5350820.05,0820.05 (5350820.05)   00000 (  2.0%),2230,1075,1155
5350820.06,0820.06 (5350820.06)   00000 (  2.7%),1930,930,1000
5350820.07,0820.07 (5350820.07)   00000 (  2.4%),4005,1950,2050
5350830.00,0830.00 (5350830.00)   00000 (  2.5%),4595,2355,2245
5350831.01,0831.01 (5350831.01)   00000 (  2.8%),5750,2790,2960
5350831.02,0831.02 (5350831.02)   00000 (  4.1%),6780,3235,3550
5350832.00,0832.00 (5350832.00)   00000 (  2.9%),4050,2040,2005
