CTUID,Geography,Total - Sex,  Male,  Female
5350516.41,0516.41 (5350516.41)   00000 (  1.7%),5730,2775,2960
5350516.42,0516.42 (5350516.42)   00000 (  1.3%),8620,4260,4365
5350516.43,0516.43 (5350516.43)   00000 (  2.9%),4215,2040,2170
5350516.44,0516.44 (5350516.44)   00000 (  3.6%),5435,2600,2840
5350516.46,0516.46 (5350516.46)   00000 (  1.1%),7625,3775,3850
5350516.47,0516.47 (5350516.47)   00000 (  1.1%),5125,2510,2615
5350516.48,0516.48 (5350516.48)   00000 (  1.5%),6665,3325,3340
5350516.49,0516.49 (5350516.49)   00000 (  1.7%),8970,4355,4610
5350517.00,0517.00 (5350517.00)   00000 (  1.8%),1675,820,860
5350518.00,0518.00 (5350518.00)   00000 (  2.6%),4235,2070,2165
5350519.00,0519.00 (5350519.00)   00000 (  2.2%),3810,1885,1925
5350520.01,0520.01 (5350520.01)   00000 (  2.0%),5480,2740,2740
5350520.02,0520.02 (5350520.02)   00000 (  2.2%),7105,3460,3645
5350520.05,0520.05 (5350520.05)   00000 (  2.1%),3635,1800,1840
5350520.07,0520.07 (5350520.07)   00000 (  2.8%),5195,2485,2710
5350520.08,0520.08 (5350520.08)   00000 (  2.6%),6305,2980,3325
5350520.09,0520.09 (5350520.09)   00000 (  2.9%),7125,3470,3650
5350520.10,0520.10 (5350520.10)   00000 (  2.8%),9665,4730,4930
5350521.01,0521.01 (5350521.01)   00000 (  2.4%),5685,2720,2960
5350521.02,0521.02 (5350521.02)   00000 (  1.6%),3485,1715,1765
5350521.03,0521.03 (5350521.03)   00000 (  2.2%),4995,2425,2570
5350521.04,0521.04 (5350521.04)   00000 (  3.4%),6605,3185,3420
5350521.05,0521.05 (5350521.05)   00000 (  2.3%),4200,2005,2195
5350521.06,0521.06 (5350521.06)   00000 (  2.5%),5575,2590,2985
5350522.00,0522.00 (5350522.00)   00000 (  2.2%),6010,2935,3070
5350523.00,0523.00 (5350523.00)   00000 (  2.6%),6170,2905,3260
5350524.01,0524.01 (5350524.01)   00000 (  3.0%),4740,2245,2495
5350524.02,0524.02 (5350524.02)   00000 (  2.7%),3575,1745,1835
5350525.01,0525.01 (5350525.01)   00000 (  2.5%),3450,1725,1725
5350525.02,0525.02 (5350525.02)   00000 (  3.0%),4665,2330,2335
5350526.01,0526.01 (5350526.01)   00000 (  3.1%),6045,2960,3085
5350526.02,0526.02 (5350526.02)   00000 (  2.7%),3555,1815,1745
5350527.01,0527.01 (5350527.01)   00000 (  3.3%),10665,5220,5445
5350527.02,0527.02 (5350527.02)   00000 (  3.8%),5260,2500,2755
5350527.03,0527.03 (5350527.03)   00000 (  3.6%),8680,4285,4390
5350527.04,0527.04 (5350527.04)   00000 (  1.9%),5775,2780,2995
5350527.05,0527.05 (5350527.05)   00000 (  3.2%),5630,2660,2970
5350527.06,0527.06 (5350527.06)   00000 (  5.8%),3975,1855,2125
5350527.07,0527.07 (5350527.07)   00000 (  2.3%),4915,2335,2585
5350527.08,0527.08 (5350527.08)   00000 (  1.6%),4170,2100,2075
5350527.09,0527.09 (5350527.09)   00000 (  1.5%),3415,1745,1675
5350528.01,0528.01 (5350528.01)   00000 (  1.6%),5695,2790,2900
5350528.02,0528.02 (5350528.02)   00000 (  1.4%),7625,3755,3865
5350528.10,0528.10 (5350528.10)   00000 (  1.8%),8865,4420,4445
5350528.11,0528.11 (5350528.11)   00000 (  2.4%),5510,2580,2930
5350528.12,0528.12 (5350528.12)   00000 (  1.8%),5750,2900,2850
5350528.13,0528.13 (5350528.13)   00000 (  3.1%),3510,1715,1790
5350528.15,0528.15 (5350528.15)   00000 (  2.3%),4435,2135,2310
5350528.16,0528.16 (5350528.16)   00000 (  1.5%),5190,2590,2600
5350528.18,0528.18 (5350528.18)   00000 (  1.9%),6830,3360,3470
5350528.19,0528.19 (5350528.19)   00000 (  1.8%),5360,2645,2720
5350528.20,0528.20 (5350528.20)   00000 (  2.4%),5905,2935,2975
