CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350442.05,5720,5720,5725,5720,5720,5725,5720,5720,5720,5720,5720,5725,5720,5720,5720,5725,5725,5720,5725,5720,5720,5720,5720,5720,5725,5720,5720,5720,5725,5725,5720,5720,5720,5725
5350442.06,7710,7715,7715,7710,7710,7715,7710,7715,7715,7715,7715,7710,7710,7710,7710,7710,7710,7710,7715,7710,7715,7715,7710,7710,7715,7710,7715,7710,7710,7715,7715,7715,7715,7715
5350450.02,2300,2295,2300,2295,2295,2295,2300,2295,2295,2300,2300,2295,2300,2300,2295,2300,2295,2295,2295,2300,2300,2295,2300,2300,2295,2295,2295,2295,2295,2300,2295,2295,2295,2300
5350450.03,6765,6765,6765,6770,6765,6770,6770,6765,6765,6770,6765,6770,6765,6765,6765,6765,6765,6765,6765,6770,6770,6765,6765,6765,6765,6765,6765,6770,6765,6765,6765,6765,6765,6765
5350450.05,4880,4880,4875,4875,4880,4875,4875,4880,4875,4880,4875,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4880,4875,4875,4880,4880,4880,4880,4875,4875,4880,4880
5350450.06,6195,6190,6190,6190,6190,6190,6195,6190,6195,6195,6195,6195,6190,6190,6190,6195,6190,6190,6195,6190,6195,6195,6190,6195,6190,6195,6195,6190,6190,6195,6190,6195,6195,6195
5350451.01,1865,1865,1870,1870,1870,1870,1870,1865,1870,1870,1870,1870,1865,1865,1870,1870,1865,1870,1865,1870,1870,1870,1870,1870,1865,1870,1870,1865,1870,1865,1870,1865,1870,1865
5350451.02,4180,4175,4180,4175,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4180,4175,4180,4180,4180,4180,4180,4180,4180,4180
5350451.03,5875,5880,5875,5875,5875,5880,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5875,5880,5875,5875,5875,5875,5875,5875,5880,5875,5880,5875,5875
5350451.05,3840,3840,3835,3835,3835,3840,3835,3840,3840,3835,3835,3840,3840,3840,3835,3840,3840,3840,3835,3840,3835,3840,3835,3835,3840,3840,3835,3840,3840,3840,3840,3840,3840,3835
5350451.06,5220,5220,5220,5220,5220,5215,5220,5220,5215,5215,5215,5215,5215,5220,5215,5215,5215,5215,5220,5220,5215,5215,5215,5220,5220,5215,5215,5215,5215,5220,5215,5220,5215,5220
5350451.07,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
5350452.01,2675,2670,2670,2670,2675,2675,2670,2670,2670,2675,2670,2670,2670,2675,2670,2675,2670,2670,2675,2675,2675,2670,2675,2670,2675,2675,2675,2675,2670,2670,2675,2675,2670,2670
5350452.02,4130,4135,4130,4130,4135,4130,4130,4130,4135,4130,4130,4130,4130,4135,4130,4135,4135,4130,4130,4135,4130,4130,4135,4135,4130,4135,4135,4130,4130,4130,4130,4135,4130,4135
5350452.03,4755,4755,4755,4755,4755,4760,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4755,4760,4755,4760,4755,4755,4760,4760,4755,4760
