CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350442.05,0442.05 (5350442.05)   00000 (  2.8%),5720,5015,3530,1135,2400,350,1130,705,95,100,510
5350442.06,0442.06 (5350442.06)   00000 (  1.9%),7715,7060,5355,1450,3905,355,1350,655,260,125,265
5350450.02,0450.02 (5350450.02)   00000 (  9.2%),2300,1740,1225,670,550,150,370,555,60,85,405
5350450.03,0450.03 (5350450.03)   00000 (  4.5%),6765,5840,3840,1520,2315,415,1580,930,160,170,600
5350450.05,0450.05 (5350450.05)   00000 (  1.8%),4880,4360,2880,975,1905,295,1190,520,120,110,290
5350450.06,0450.06 (5350450.06)   00000 (  1.8%),6190,5770,4010,1050,2965,235,1520,425,160,95,170
5350451.01,0451.01 (5350451.01)   00000 (  3.8%),1865,1460,1005,435,575,100,350,410,35,50,325
5350451.02,0451.02 (5350451.02)   00000 (  4.2%),4180,3030,2100,1175,930,300,625,1150,90,215,840
5350451.03,0451.03 (5350451.03)   00000 (  2.4%),5880,5095,3265,1225,2045,410,1420,780,175,170,435
5350451.05,0451.05 (5350451.05)   00000 (  1.4%),3840,3545,2340,750,1585,185,1025,290,85,60,145
5350451.06,0451.06 (5350451.06)   00000 (  2.1%),5220,4710,3020,805,2210,340,1345,505,140,120,250
5350451.07,0451.07 (5350451.07)   00000 (  1.8%),3800,3420,2290,590,1695,260,875,375,115,85,175
5350452.01,0452.01 (5350452.01)   00000 (  2.2%),2675,2190,1440,720,725,250,500,480,85,140,260
5350452.02,0452.02 (5350452.02)   00000 (  3.8%),4135,3270,2155,1020,1135,335,775,865,155,310,400
5350452.03,0452.03 (5350452.03)   00000 (  2.2%),4755,4055,2730,1165,1570,285,1035,700,90,130,480
5350452.05,0452.05 (5350452.05)   00000 (  1.8%),3530,3180,2290,480,1810,185,705,350,150,110,95
5350452.06,0452.06 (5350452.06)   00000 (  1.6%),3385,3020,2130,540,1595,200,690,365,140,120,105
5350452.07,0452.07 (5350452.07)   00000 (  1.5%),4520,4155,2890,1150,1740,190,1075,365,115,110,135
