CTUID,Geography,Total - Family characteristics of adults (restricted to persons aged 15 and over),  Adults living in census families,    Married spouses and common-law partners,      Without children in their census family,      With children in their census family,    Lone parents (in lone-parent census families),"    Children in census families (as in sons, daughters or grandchildren)",  Adults not living in census families,    Living with other relatives,    Living with non-relatives only,    Living alone
5350528.47,0528.47 (5350528.47)   00000 (  1.9%),4315,3955,2400,595,1810,270,1290,355,160,90,110
5350528.48,0528.48 (5350528.48)   00000 (  1.7%),6165,5610,3760,785,2980,260,1590,555,320,165,70
5350528.49,0528.49 (5350528.49)   00000 (  3.4%),3645,3350,2250,445,1805,145,955,290,135,80,80
5350529.01,0529.01 (5350529.01)   00000 (  3.5%),3135,2515,1680,605,1075,200,635,620,160,245,210
5350529.02,0529.02 (5350529.02)   00000 (  2.7%),3765,3145,2000,665,1335,275,875,620,175,230,210
5350530.01,0530.01 (5350530.01)   00000 (  3.2%),4035,3280,1875,515,1360,420,985,755,195,345,210
5350530.02,0530.02 (5350530.02)   00000 (  2.7%),2560,2100,1310,420,890,200,595,460,110,150,195
5350531.01,0531.01 (5350531.01)   00000 (  2.3%),3305,2695,1525,530,995,365,810,610,150,215,245
5350531.02,0531.02 (5350531.02)   00000 (  2.4%),5470,4640,2955,1020,1940,360,1325,825,275,310,235
5350532.01,0532.01 (5350532.01)   00000 (  3.2%),3565,3030,1930,600,1330,235,865,535,180,205,150
5350532.02,0532.02 (5350532.02)   00000 (  2.2%),3710,3115,1915,540,1375,290,905,595,180,260,155
5350540.01,0540.01 (5350540.01)   00000 (  6.1%),4300,2705,1900,1080,820,280,525,1595,95,245,1255
5350540.02,0540.02 (5350540.02)   00000 (  3.6%),4825,3290,2450,1435,1020,265,575,1535,90,200,1240
5350550.01,0550.01 (5350550.01)   00000 (  1.8%),3880,3390,2265,885,1380,260,860,490,115,110,270
5350550.02,0550.02 (5350550.02)   00000 (  2.8%),6340,5205,3575,1565,2010,385,1245,1135,200,180,755
5350560.00,0560.00 (5350560.00)   00000 (  2.6%),5165,4305,2715,1020,1690,405,1190,860,215,215,430
5350561.00,0561.00 (5350561.00)   00000 (  3.0%),5360,4315,2685,1100,1585,495,1135,1050,255,285,505
5350562.02,0562.02 (5350562.02)   00000 (  2.3%),5625,4905,3170,1275,1895,320,1410,725,210,160,355
5350562.03,0562.03 (5350562.03)   00000 (  2.4%),3910,3365,2010,700,1310,385,970,545,180,125,235
5350562.04,0562.04 (5350562.04)   00000 (  2.9%),3790,3265,2085,820,1260,280,900,525,160,160,205
5350562.05,0562.05 (5350562.05)   00000 (  3.2%),4710,3685,2330,965,1370,420,935,1030,175,195,665
5350562.06,0562.06 (5350562.06)   00000 (  2.1%),2600,2320,1550,630,920,140,635,280,100,70,105
5350562.07,0562.07 (5350562.07)   00000 (  2.8%),3700,3220,2040,700,1340,270,910,480,145,135,205
5350562.08,0562.08 (5350562.08)   00000 (  2.1%),3425,2935,1800,655,1145,300,835,490,150,140,205
5350562.09,0562.09 (5350562.09)   00000 (  2.5%),3290,2865,1815,725,1085,250,805,425,140,105,180
5350562.11,0562.11 (5350562.11)   00000 (  2.5%),2525,2200,1440,515,925,175,590,320,100,95,130
5350562.12,0562.12 (5350562.12)   00000 (  3.3%),5445,4325,2775,1060,1715,610,945,1115,210,200,705
5350562.13,0562.13 (5350562.13)   00000 (  7.6%),925,795,500,145,355,75,220,135,50,40,45
5350562.14,0562.14 (5350562.14)   00000 (  2.4%),3310,3005,1945,650,1300,160,895,310,155,70,80
5350562.15,0562.15 (5350562.15)   00000 (  3.2%),3075,2795,1635,475,1155,260,900,275,115,75,90
5350563.01,0563.01 (5350563.01)   00000 (  3.9%),5130,4105,2390,795,1595,635,1080,1025,200,140,685
5350563.02,0563.02 (5350563.02)   00000 (  2.2%),2495,2110,1310,540,770,190,610,385,100,105,180
5350564.01,0564.01 (5350564.01)   00000 (  2.6%),1955,1680,1085,455,630,150,450,275,80,100,95
5350564.02,0564.02 (5350564.02)   00000 (  2.2%),3820,3265,1945,600,1340,335,990,555,180,180,200
5350570.01,0570.01 (5350570.01)   00000 (  3.4%),2640,1925,1120,455,660,315,495,705,105,140,460
5350570.02,0570.02 (5350570.02)   00000 (  2.0%),3025,2685,1985,875,1115,125,570,345,75,50,215
5350571.01,0571.01 (5350571.01)   00000 (  2.9%),3050,2365,1245,470,775,425,690,685,150,200,340
5350571.02,0571.02 (5350571.02)   00000 (  3.6%),3275,2685,1870,880,990,205,610,585,95,145,345
5350572.01,0572.01 (5350572.01)   00000 (  2.7%),5700,4695,2980,1415,1560,505,1215,1010,160,195,655
5350572.04,0572.04 (5350572.04)   00000 (  2.6%),2695,2190,1345,515,835,195,650,505,105,215,190
5350572.05,0572.05 (5350572.05)   00000 (  2.9%),4880,3695,2505,1015,1490,365,825,1185,175,360,650
5350572.07,0572.07 (5350572.07)   00000 (  2.6%),3830,3235,2045,650,1400,250,940,600,185,300,120
5350572.08,0572.08 (5350572.08)   00000 (  2.9%),4560,3675,2330,695,1635,250,1095,880,260,500,125
5350572.09,0572.09 (5350572.09)   00000 (  3.5%),3735,3375,2210,545,1660,205,960,360,185,80,85
5350572.10,0572.10 (5350572.10)   00000 (  1.8%),2940,2655,1650,415,1230,165,840,290,150,65,70
5350573.03,0573.03 (5350573.03)   00000 (  4.5%),5105,4355,2785,985,1790,370,1200,755,185,225,345
5350573.05,0573.05 (5350573.05)   00000 (  2.8%),4730,4070,2660,1060,1600,315,1100,660,200,195,260
5350573.06,0573.06 (5350573.06)   00000 (  2.2%),3730,3340,2150,660,1490,270,925,390,130,85,175
5350573.07,0573.07 (5350573.07)   00000 (  3.4%),4810,3830,2370,1015,1350,475,985,985,200,200,585
5350573.09,0573.09 (5350573.09)   00000 (  2.4%),4770,4220,2585,730,1855,405,1225,555,245,165,150
5350573.10,0573.10 (5350573.10)   00000 (  1.9%),2615,2355,1505,455,1050,145,710,265,125,65,65
5350573.11,0573.11 (5350573.11)   00000 (  1.5%),3930,3560,2260,515,1745,265,1030,375,230,85,60
5350574.00,0574.00 (5350574.00)   00000 (  4.9%),5790,3635,2590,1560,1030,375,670,2155,150,270,1735
5350575.01,0575.01 (5350575.01)   00000 (  3.1%),4830,3950,2395,985,1405,485,1075,880,205,265,410
5350575.02,0575.02 (5350575.02)   00100 (  4.3%),3825,2880,1795,790,1000,390,695,945,175,225,555
5350575.03,0575.03 (5350575.03)   00000 (  2.6%),5350,4515,2805,925,1885,490,1225,835,220,310,305
5350575.04,0575.04 (5350575.04)   00000 (  2.9%),5075,4190,2570,890,1680,450,1170,880,245,315,320
5350575.05,0575.05 (5350575.05)   00000 (  2.3%),5605,4885,2950,900,2050,525,1415,720,225,205,295
5350575.07,0575.07 (5350575.07)   00000 (  1.7%),3150,2905,2015,495,1510,125,765,250,165,50,30
5350575.08,0575.08 (5350575.08)   00000 (  1.9%),4385,3815,2475,740,1735,325,1015,570,195,200,170
5350576.04,0576.04 (5350576.04)   00000 (  1.8%),3750,3390,2270,820,1450,185,940,365,120,90,150
5350576.05,0576.05 (5350576.05)   00000 (  3.5%),5660,4995,3110,1020,2085,385,1505,660,260,195,210
5350576.06,0576.06 (5350576.06)   00000 (  2.5%),5970,5370,3475,1200,2275,400,1495,600,220,150,225
5350576.07,0576.07 (5350576.07)   00000 (  2.2%),3765,3325,2105,645,1465,245,970,440,180,125,135
5350576.09,0576.09 (5350576.09)   00000 (  2.1%),3165,2840,1935,760,1175,175,730,320,85,75,165
5350576.10,0576.10 (5350576.10)   00000 (  2.6%),9640,8540,5920,2000,3925,535,2080,1100,425,205,470
5350576.16,0576.16 (5350576.16)   00000 (  1.9%),5290,4775,3095,855,2240,250,1435,520,280,145,100
5350576.17,0576.17 (5350576.17)   00000 (  2.2%),5365,4865,3260,985,2275,270,1330,500,255,110,130
5350576.20,0576.20 (5350576.20)   00000 (  2.9%),5220,4720,3120,710,2410,270,1325,500,295,145,55
5350576.22,0576.22 (5350576.22)   00000 (  2.1%),6035,5435,3485,920,2565,305,1645,600,330,165,105
5350576.24,0576.24 (5350576.24)   00000 (  2.0%),8335,7710,5285,1600,3680,255,2170,620,410,130,85
5350576.29,0576.29 (5350576.29)   00000 (  2.0%),3175,2890,1915,460,1455,190,785,285,145,55,90
5350576.31,0576.31 (5350576.31)   00000 (  1.7%),3140,2860,1955,630,1320,105,800,280,90,60,130
5350576.32,0576.32 (5350576.32)   00000 (  1.8%),7385,6775,4535,1095,3440,380,1855,610,315,170,125
5350576.33,0576.33 (5350576.33)   00000 (  2.5%),2135,1935,1290,495,790,115,535,200,60,50,90
5350576.34,0576.34 (5350576.34)   00000 (  2.1%),4725,4260,2715,730,1980,360,1185,460,190,140,130
5350576.40,0576.40 (5350576.40)   00000 (  2.1%),6195,5590,3745,950,2795,260,1580,605,360,170,80
5350576.41,0576.41 (5350576.41)   00000 (  1.8%),6210,5655,3695,760,2940,365,1590,555,315,140,100
5350576.42,0576.42 (5350576.42)   00000 (  2.0%),9410,8475,5775,1445,4330,570,2130,935,455,210,265
5350576.43,0576.43 (5350576.43)   00000 (  1.9%),4965,4470,2915,740,2180,335,1220,495,245,135,115
5350576.44,0576.44 (5350576.44)   00000 (  2.1%),2175,2015,1315,370,945,125,575,165,90,35,40
5350576.45,0576.45 (5350576.45)   00000 (  1.7%),2390,2195,1410,350,1060,105,675,195,130,40,30
5350576.46,0576.46 (5350576.46)   00000 (  2.1%),4200,3795,2520,670,1850,230,1045,400,225,95,80
5350576.47,0576.47 (5350576.47)   00000 (  2.5%),3285,3015,1985,525,1465,95,935,265,195,45,25
5350576.49,0576.49 (5350576.49)   00000 (  2.1%),4495,4060,2695,630,2060,295,1065,440,225,120,95
5350576.50,0576.50 (5350576.50)   00000 (  1.5%),5160,4675,3080,720,2360,270,1325,480,270,130,85
5350576.52,0576.52 (5350576.52)   00000 (  1.8%),4360,3960,2660,600,2060,245,1055,395,200,110,90
5350576.53,0576.53 (5350576.53)   00000 (  1.7%),3295,3005,2055,450,1605,175,775,290,155,80,55
5350576.54,0576.54 (5350576.54)   00000 (  2.0%),3510,3195,2185,520,1670,160,850,315,210,55,55
5350576.55,0576.55 (5350576.55)   00000 (  3.0%),5100,4640,3265,820,2445,185,1195,455,320,100,40
5350576.56,0576.56 (5350576.56)   00000 (  1.7%),6175,5665,3710,955,2755,255,1705,505,360,110,35
5350576.57,0576.57 (5350576.57)   00000 (  3.3%),2805,2400,1580,610,975,160,660,405,145,45,220
5350576.58,0576.58 (5350576.58)   00000 (  2.1%),6395,5775,3945,1005,2945,325,1500,620,360,115,145
5350576.59,0576.59 (5350576.59)   00000 (  1.6%),5135,4665,3070,680,2385,230,1370,465,310,100,55
5350576.60,0576.60 (5350576.60)   00000 (  1.9%),6200,5630,4055,965,3090,250,1325,565,375,120,75
5350576.61,0576.61 (5350576.61)   00000 (  2.3%),8195,7480,5300,1175,4125,355,1825,720,455,175,90
5350576.62,0576.62 (5350576.62)   00000 (  2.1%),5620,5090,3235,800,2435,260,1590,535,360,125,50
5350576.63,0576.63 (5350576.63)   00000 (  1.6%),4710,4295,2945,730,2210,180,1175,410,280,95,40
5350576.64,0576.64 (5350576.64)   00000 (  2.0%),6855,6265,4135,1060,3075,295,1835,590,405,130,50
5350576.65,0576.65 (5350576.65)   00000 (  1.5%),1790,1600,1070,275,790,110,420,195,115,40,35
5350576.66,0576.66 (5350576.66)   00000 (  2.1%),5055,4595,3115,785,2330,230,1255,460,300,115,40
5350576.67,0576.67 (5350576.67)   00000 (  1.3%),6220,5610,3650,835,2810,320,1645,610,390,165,60
5350576.68,0576.68 (5350576.68)   00000 (  2.3%),4215,3885,2500,690,1815,150,1235,325,225,60,45
5350576.69,0576.69 (5350576.69)   00000 (  1.5%),4460,4115,2730,695,2035,180,1200,345,230,65,55
5350576.70,0576.70 (5350576.70)   00000 (  2.2%),13970,12745,9300,2545,6755,675,2775,1230,610,290,325
5350576.71,0576.71 (5350576.71)   00000 (  2.1%),17610,16200,11465,2755,8705,625,4110,1405,915,300,190
5350576.72,0576.72 (5350576.72)   00000 (  2.6%),7480,6720,4685,1305,3380,290,1740,770,330,150,280
5350585.02,0585.02 (5350585.02)   00000 (  2.4%),4750,4315,3090,985,2105,225,995,440,155,95,190
5350585.03,0585.03 (5350585.03)   00000 (  2.4%),4395,3850,2605,960,1640,265,980,540,105,85,350
5350585.05,0585.05 (5350585.05)   00000 (  2.1%),5765,5355,3570,990,2580,300,1485,415,120,70,225
5350585.07,0585.07 (5350585.07)   00000 (  2.5%),5770,5210,3835,1615,2220,195,1180,555,140,125,295
5350585.08,0585.08 (5350585.08)   00000 (  2.0%),3195,2945,2075,820,1260,90,780,255,70,80,100
5350585.09,0585.09 (5350585.09)   00000 (  2.5%),4780,4380,2820,870,1950,240,1320,405,95,80,230
5350585.10,0585.10 (5350585.10)   00000 (  2.1%),3215,2980,2025,530,1495,160,790,235,70,40,130
5350586.01,0586.01 (5350586.01)   00000 (  2.1%),9795,8965,6490,2120,4375,395,2080,830,395,160,280
5350586.02,0586.02 (5350586.02)   00000 (  3.1%),2475,2160,1525,720,810,100,535,315,70,65,180
5350587.01,0587.01 (5350587.01)   00000 (  2.8%),5050,4605,3280,1390,1890,160,1165,450,110,85,250
5350587.02,0587.02 (5350587.02)   00000 (  2.6%),4670,4135,3020,1420,1600,170,940,540,100,110,330
5350590.00,0590.00 (5350590.00)   00000 (  4.0%),4085,3040,2045,1065,980,360,635,1045,105,245,695
5350591.01,0591.01 (5350591.01)   00000 (  2.9%),4140,3665,2590,915,1675,255,825,470,95,120,260
5350591.02,0591.02 (5350591.02)   00000 (  1.8%),3985,3495,2345,860,1485,300,845,495,85,135,275
5350592.01,0592.01 (5350592.01)   00000 (  2.7%),5510,4355,2965,1275,1690,425,960,1155,125,190,840
5350592.02,0592.02 (5350592.02)   00000 (  3.4%),5155,4695,3330,1210,2120,240,1125,465,100,105,260
5350593.00,0593.00 (5350593.00)   00000 (  3.2%),7190,6555,4845,2330,2520,230,1485,635,155,120,360
5350600.01,0600.01 (5350600.01)   00000 (  1.3%),5075,4780,3430,1215,2210,150,1200,300,70,45,185
5350600.02,0600.02 (5350600.02)   00000 (  1.5%),5785,5395,3545,1095,2455,280,1565,390,150,80,165
5350601.00,0601.00 (5350601.00)   00000 (  2.2%),3315,3125,2130,635,1495,90,905,190,25,25,140
5350602.00,0602.00 (5350602.00)   00000 (  5.1%),3920,3395,2430,1045,1385,120,840,525,50,80,395
5350603.00,0603.00 (5350603.00)   00000 (  4.5%),4335,2810,2055,1130,930,240,515,1520,115,270,1140
5350604.00,0604.00 (5350604.00)   00000 (  6.4%),2020,1440,1080,645,435,75,285,585,25,40,515
5350605.00,0605.00 (5350605.00)   00000 (  5.9%),2130,1780,1290,735,550,90,395,350,20,55,270
5350606.00,0606.00 (5350606.00)   00000 (  2.8%),4350,3460,2305,1140,1165,330,815,890,115,185,585
5350607.00,0607.00 (5350607.00)   00000 (  2.3%),2495,2150,1550,635,920,100,500,345,75,70,200
5350608.00,0608.00 (5350608.00)   00000 (  4.9%),2140,1790,1210,480,735,135,445,350,75,135,140
5350609.00,0609.00 (5350609.00)   00000 (  2.1%),2255,2030,1450,530,920,70,515,220,40,35,150
5350610.02,0610.02 (5350610.02)   00000 (  1.7%),7015,6470,4785,1665,3115,265,1420,545,105,90,355
5350610.03,0610.03 (5350610.03)   00000 (  3.5%),4170,2925,2240,1600,645,215,475,1240,55,110,1070
5350610.04,0610.04 (5350610.04)   00000 (  5.4%),2680,2060,1535,830,705,110,410,620,35,65,525
5350611.00,0611.00 (5350611.00)   00000 (  2.0%),4120,3730,2695,1100,1590,155,880,390,85,95,215
5350612.01,0612.01 (5350612.01)   00900 (  5.4%),50,45,35,10,20,5,15,5,0,0,0
5350612.03,0612.03 (5350612.03)   00000 (  1.6%),5070,4655,2985,865,2115,290,1385,415,105,65,250
5350612.05,0612.05 (5350612.05)   00000 (  2.9%),4785,4345,2955,1090,1865,255,1140,440,90,65,285
5350612.08,0612.08 (5350612.08)   00000 (  3.6%),4460,4050,2625,775,1850,235,1190,415,120,115,180
5350612.10,0612.10 (5350612.10)   01900 ( 16.9%),35,30,15,5,10,0,10,10,5,0,10
5350612.11,0612.11 (5350612.11)   00000 (  1.6%),4695,4425,3005,815,2195,165,1255,270,95,55,125
5350612.12,0612.12 (5350612.12)   00000 (  1.7%),5560,5225,3430,915,2520,235,1560,330,125,70,135
5350612.13,0612.13 (5350612.13)   00000 (  1.9%),3230,2810,1970,785,1185,120,720,425,55,45,325
5350612.14,0612.14 (5350612.14)   00000 (  2.7%),3510,3120,2075,650,1425,180,865,390,65,70,260
5350612.15,0612.15 (5350612.15)   00000 (  1.7%),5175,4790,3650,1010,2635,175,965,385,110,60,215
5350612.18,0612.18 (5350612.18)   00000 (  1.2%),3290,3075,2175,505,1670,155,740,220,50,45,125
5350612.19,0612.19 (5350612.19)   00000 (  1.7%),3185,2935,1950,475,1475,185,795,250,65,45,145
5350612.20,0612.20 (5350612.20)   00000 (  1.4%),3405,3200,2215,550,1670,145,840,200,55,45,105
5350612.21,0612.21 (5350612.21)   00000 (  1.4%),4835,4480,3220,690,2535,230,1025,360,120,60,180
5350612.22,0612.22 (5350612.22)   00000 (  1.6%),5145,4785,3545,750,2795,225,1020,360,135,65,155
5350612.23,0612.23 (5350612.23)   00000 (  3.6%),3510,3270,2295,530,1765,145,830,230,85,30,120
5350612.24,0612.24 (5350612.24)   00000 (  1.5%),6055,5600,3925,925,3005,220,1455,455,140,55,260
5350612.25,0612.25 (5350612.25)   00000 (  1.2%),4405,4160,2775,705,2070,160,1225,250,90,60,100
5350612.26,0612.26 (5350612.26)   00000 (  7.3%),3140,2305,1670,775,895,235,405,835,65,95,680
5350612.27,0612.27 (5350612.27)   00000 (  3.4%),4320,3890,2560,785,1775,210,1115,430,105,80,245
5350613.01,0613.01 (5350613.01)   00000 (  2.1%),3440,2965,2070,905,1165,205,690,470,85,135,250
5350613.03,0613.03 (5350613.03)   00000 (  3.9%),3390,2600,1745,805,940,235,620,790,90,260,435
5350613.04,0613.04 (5350613.04)   00100 (  5.2%),3945,2670,1880,970,905,200,590,1275,100,605,575
5350614.01,0614.01 (5350614.01)   00000 (  1.8%),2620,2385,1660,670,985,130,600,230,45,45,145
5350614.02,0614.02 (5350614.02)   00000 (  1.9%),3290,2930,2085,915,1170,180,670,355,60,85,210
5350615.00,0615.00 (5350615.00)   00000 (  2.2%),4690,4260,3240,840,2400,180,840,430,140,85,200
5350620.01,0620.01 (5350620.01)   00000 (  2.0%),6845,6065,4455,1315,3140,330,1285,780,180,105,490
5350620.05,0620.05 (5350620.05)   00000 (  1.3%),3355,3165,2290,500,1790,110,770,185,85,35,70
5350620.06,0620.06 (5350620.06)   00000 (  1.7%),4775,4350,3255,780,2475,265,835,420,125,75,230
5350620.07,0620.07 (5350620.07)   00000 (  0.8%),3705,3500,2605,460,2145,135,760,205,105,45,55
5350620.08,0620.08 (5350620.08)   00000 (  2.0%),5640,5085,3900,1020,2880,245,940,550,200,80,270
5350620.09,0620.09 (5350620.09)   00000 (  1.9%),3735,3435,2575,620,1955,175,690,300,110,60,125
5350620.10,0620.10 (5350620.10)   00000 (  1.6%),8220,7660,5915,1375,4540,290,1455,555,230,110,215
5350620.11,0620.11 (5350620.11)   00000 (  1.8%),8070,7315,5755,1565,4190,350,1215,755,245,150,360
5350620.12,0620.12 (5350620.12)   00000 (  2.3%),12100,11135,8695,2130,6560,475,1965,965,375,155,430
5350620.13,0620.13 (5350620.13)   00000 (  3.7%),2025,1750,1235,610,620,90,425,275,60,80,140
5350621.00,0621.00 (5350621.00)   00000 (  3.7%),4460,3980,2905,1320,1585,225,850,480,75,85,310
5350622.00,0622.00 (5350622.00)   00000 (  2.7%),4925,4270,3040,1365,1675,320,905,655,100,125,430
5350623.00,0623.00 (5350623.00)   00000 (  4.8%),3080,2220,1630,1020,610,195,395,860,70,120,675
5350624.00,0624.00 (5350624.00)   00000 (  2.1%),4340,3765,2710,1215,1495,250,800,575,90,110,375
5350625.00,0625.00 (5350625.00)   03100 ( 33.3%),355,270,200,95,105,15,60,85,15,15,60
5350626.00,0626.00 (5350626.00)   00000 (  2.2%),4950,4440,3335,1620,1715,140,975,505,110,125,265
5350630.00,0630.00 (5350630.00)   00000 (  4.3%),2790,2430,1745,850,895,110,585,355,125,90,140
5350631.02,0631.02 (5350631.02)   00000 (  1.1%),3740,3530,2440,565,1875,150,945,205,70,25,110
5350631.03,0631.03 (5350631.03)   00000 (  1.2%),3630,3495,2410,415,1990,100,985,140,70,10,55
5350631.04,0631.04 (5350631.04)   00000 (  1.1%),4090,3850,2805,725,2085,150,895,240,90,25,125
5350632.00,0632.00 (5350632.00)   00000 (  2.3%),3660,3080,2170,945,1225,200,715,575,95,105,375
5350633.00,0633.00 (5350633.00)   00000 (  5.3%),2605,2040,1385,630,755,240,420,570,55,80,435
5350634.01,0634.01 (5350634.01)   00000 (  1.6%),3490,3175,2210,680,1535,175,795,315,55,70,190
5350634.02,0634.02 (5350634.02)   00000 (  1.9%),3155,2715,1865,850,1010,200,655,440,80,100,260
5350635.00,0635.00 (5350635.00)   00000 (  3.2%),5100,4150,2930,1330,1605,280,935,950,70,135,750
5350636.00,0636.00 (5350636.00)   00000 (  2.1%),2415,2070,1490,635,855,135,445,350,60,70,215
5350637.00,0637.00 (5350637.00)   00000 (  5.5%),5685,5165,3710,1595,2120,165,1290,520,120,115,285
5350638.00,0638.00 (5350638.00)   00000 (  2.6%),4865,4075,2875,1220,1650,335,865,790,120,155,510
5350639.00,0639.00 (5350639.00)   00000 (  1.7%),3545,3105,2275,860,1415,145,680,440,80,100,260
5350800.01,0800.01 (5350800.01)   00000 (  2.9%),2680,2030,1360,740,630,225,435,655,90,95,460
5350800.02,0800.02 (5350800.02)   00000 (  5.0%),3870,3140,2050,1105,940,340,750,725,135,200,395
5350801.01,0801.01 (5350801.01)   00000 (  2.4%),3020,2495,1630,805,825,260,605,520,110,120,290
5350801.02,0801.02 (5350801.02)   00000 (  2.1%),4915,4420,3035,1160,1870,240,1140,500,95,125,280
5350802.01,0802.01 (5350802.01)   00000 (  2.0%),3210,2905,1965,735,1225,180,765,300,110,45,145
5350802.02,0802.02 (5350802.02)   00000 (  3.9%),4640,4185,2865,1020,1845,205,1120,455,150,80,220
5350803.03,0803.03 (5350803.03)   00000 (  2.6%),4550,4085,2635,940,1700,260,1180,465,170,65,235
5350803.04,0803.04 (5350803.04)   00000 (  2.5%),4820,4465,2870,750,2120,235,1365,355,150,50,145
5350803.05,0803.05 (5350803.05)   00000 (  2.1%),5480,5060,3320,885,2430,300,1440,420,170,65,185
5350803.06,0803.06 (5350803.06)   00000 (  1.5%),4635,4250,2680,850,1830,295,1275,380,155,55,175
5350804.01,0804.01 (5350804.01)   00000 (  2.0%),6110,5610,3790,1290,2495,260,1565,505,195,85,225
5350804.05,0804.05 (5350804.05)   00000 (  1.5%),5585,5095,3405,1175,2230,320,1370,490,175,90,225
5350804.06,0804.06 (5350804.06)   00000 (  1.4%),2600,2270,1485,565,915,175,615,330,85,70,175
5350804.07,0804.07 (5350804.07)   00100 (  7.8%),3170,2645,1430,540,885,385,825,520,105,95,330
5350804.08,0804.08 (5350804.08)   00000 (  1.7%),3125,2885,1950,730,1220,125,800,245,95,45,110
5350804.10,0804.10 (5350804.10)   00000 (  3.0%),4345,3310,2220,1240,980,335,755,1035,125,75,830
5350804.11,0804.11 (5350804.11)   00000 (  5.0%),4550,3710,2240,875,1365,390,1085,840,150,160,535
5350804.12,0804.12 (5350804.12)   00000 (  2.5%),5125,4615,3200,970,2225,295,1120,510,205,80,220
5350804.13,0804.13 (5350804.13)   00000 (  2.3%),4140,3695,2160,560,1600,285,1250,445,210,110,125
5350805.04,0805.04 (5350805.04)   00000 (  1.8%),5440,4990,3625,1080,2545,290,1075,450,175,75,205
5350805.06,0805.06 (5350805.06)   00000 (  3.5%),4800,4265,2480,770,1710,450,1340,530,170,110,250
5350805.09,0805.09 (5350805.09)   00000 (  2.1%),4625,4215,2545,605,1940,305,1365,405,175,90,150
5350805.10,0805.10 (5350805.10)   00000 (  2.1%),5340,4815,3090,950,2140,320,1405,520,150,115,250
5350805.12,0805.12 (5350805.12)   00000 (  2.9%),6530,5945,3840,895,2945,420,1680,590,275,100,215
5350805.14,0805.14 (5350805.14)   00000 (  1.7%),6245,5685,4105,1005,3100,360,1220,560,275,115,175
5350805.15,0805.15 (5350805.15)   00000 (  2.4%),6905,6270,4235,1010,3225,465,1570,635,325,125,190
5350805.16,0805.16 (5350805.16)   00000 (  1.6%),5430,4995,3255,660,2595,325,1415,440,275,80,90
5350805.17,0805.17 (5350805.17)   00000 (  1.6%),4370,4040,2595,680,1910,260,1190,330,185,55,90
5350805.18,0805.18 (5350805.18)   00000 (  2.2%),2605,2330,1425,475,945,180,725,280,95,75,100
5350805.19,0805.19 (5350805.19)   00000 (  2.5%),1545,1320,850,295,560,95,370,220,50,45,130
5350805.20,0805.20 (5350805.20)   00000 (  1.9%),3675,3315,2120,510,1610,255,940,360,135,90,140
5350805.21,0805.21 (5350805.21)   00000 (  2.4%),1365,1210,780,240,535,85,350,150,60,30,55
5350806.00,0806.00 (5350806.00)   00000 (  2.5%),1330,1165,820,350,470,50,300,165,30,55,75
5350807.00,0807.00 (5350807.00)   00000 (  2.9%),2060,1795,1290,580,710,80,420,265,40,80,145
5350810.01,0810.01 (5350810.01)   00000 (  3.5%),3315,2445,1465,720,745,370,610,870,110,190,570
5350810.02,0810.02 (5350810.02)   00000 (  2.8%),2070,1655,1155,560,590,130,370,420,50,80,285
5350810.03,0810.03 (5350810.03)   00000 (  2.3%),2700,2340,1600,840,755,195,550,360,70,65,230
5350810.04,0810.04 (5350810.04)   00000 (  2.4%),4625,3940,2650,1195,1455,330,960,685,105,125,460
5350810.05,0810.05 (5350810.05)   00000 (  2.4%),3115,2725,1885,830,1060,170,670,385,60,40,285
5350811.00,0811.00 (5350811.00)   00000 (  4.8%),3070,2265,1405,690,715,315,545,800,95,160,555
5350812.00,0812.00 (5350812.00)   00000 (  2.0%),5185,4390,2790,1065,1725,385,1220,795,205,210,380
5350820.03,0820.03 (5350820.03)   00000 (  2.5%),3340,3080,1915,540,1375,160,1005,260,125,55,75
5350820.04,0820.04 (5350820.04)   00000 (  2.0%),2255,2080,1180,255,930,165,735,175,80,35,60
5350820.05,0820.05 (5350820.05)   00000 (  2.0%),1885,1760,1055,260,790,100,605,125,65,15,40
5350820.06,0820.06 (5350820.06)   00000 (  2.7%),1705,1350,880,460,420,135,340,355,55,55,240
5350820.07,0820.07 (5350820.07)   00000 (  2.4%),3405,3105,1930,580,1355,175,995,310,85,65,155
5350830.00,0830.00 (5350830.00)   00000 (  2.5%),3985,3570,2580,1180,1400,125,870,410,100,110,205
5350831.01,0831.01 (5350831.01)   00000 (  2.8%),4710,4175,2860,1105,1760,235,1070,530,80,85,365
5350831.02,0831.02 (5350831.02)   00000 (  4.1%),5550,4680,3395,1615,1780,265,1025,870,105,100,665
5350832.00,0832.00 (5350832.00)   00000 (  2.9%),3410,3070,2250,1055,1195,135,690,340,85,65,185
