CTUID,Geography,Total  Highest certificate diploma or degree,  No certificate diploma or degree,  Secondary (high) school diploma or equivalency certificate,  Apprenticeship or trades certificate or diploma,  College CEGEP or other nonuniversity certificate or diploma,  University certificate or diploma below bachelor level,  University certificate diploma or degree at bachelor level or above,    Bachelor's degree,    University certificate diploma or degree above bachelor level
5350076,0076.00 (5350076.00)   00000 (  2.8%),3755,690,720,140,615,60,1520,1020,510
5350077,0077.00 (5350077.00)   00000 (  2.2%),3555,405,780,155,615,60,1540,975,560
5350078,0078.00 (5350078.00)   00000 (  3.8%),4980,635,1085,170,895,115,2075,1385,685
5350079,0079.00 (5350079.00)   00000 (  2.9%),5665,565,1220,170,1035,125,2550,1660,890
5350080.01,0080.01 (5350080.01)   00000 (  3.7%),2810,405,600,100,505,75,1125,700,420
5350080.02,0080.02 (5350080.02)   00001 (  5.4%),3840,680,1005,210,720,105,1110,680,430
5350081,0081.00 (5350081.00)   00000 (  0.0%),2305,410,465,100,340,40,940,620,325
5350082,0082.00 (5350082.00)   00000 (  0.0%),2225,360,520,45,290,45,965,650,315
5350083,0083.00 (5350083.00)   00000 (  3.5%),3420,675,685,95,510,70,1385,825,565
5350084,0084.00 (5350084.00)   00000 (  2.9%),2970,325,535,85,405,75,1545,890,650
5350085,0085.00 (5350085.00)   00000 (  4.3%),3525,315,655,95,555,65,1835,1085,745
5350086,0086.00 (5350086.00)   00000 (  3.5%),2050,120,350,20,120,45,1400,705,695
5350087,0087.00 (5350087.00)   00101 (  5.9%),4555,220,735,105,415,115,2970,1460,1510
5350088,0088.00 (5350088.00)   00001 (  6.4%),2970,180,505,75,370,90,1745,920,825
5350089,0089.00 (5350089.00)   00101 (  6.5%),3505,100,640,30,295,85,2350,1310,1040
5350090,0090.00 (5350090.00)   00000 (  5.7%),3640,160,550,70,370,105,2385,1390,995
5350091.01,0091.01 (5350091.01)   01101 (  7.0%),4915,150,785,100,440,105,3340,1695,1650
5350091.02,0091.02 (5350091.02)   00101 (  8.1%),3210,255,535,70,450,105,1785,1075,710
5350092,0092.00 (5350092.00)   00101 (  5.0%),6345,320,905,135,695,105,4190,2295,1890
5350093,0093.00 (5350093.00)   00000 (  3.7%),4685,605,865,125,445,105,2535,1380,1160
5350094,0094.00 (5350094.00)   00000 (  3.1%),4215,845,875,165,595,90,1650,1065,585
5350095,0095.00 (5350095.00)   00101 (  7.6%),2875,550,680,85,390,40,1135,725,410
5350096.01,0096.01 (5350096.01)   00100 (  4.2%),1490,345,365,50,190,60,485,300,185
5350096.02,0096.02 (5350096.02)   00101 (  5.2%),2960,730,680,95,350,30,1080,720,360
5350097.01,0097.01 (5350097.01)   00101 (  6.3%),3435,635,845,185,425,75,1260,775,490
5350097.03,0097.03 (5350097.03)   00101 (  6.7%),1085,255,305,45,225,30,230,160,70
5350097.04,0097.04 (5350097.04)   00101 (  4.6%),4895,1220,1070,235,785,105,1485,1045,440
5350098,0098.00 (5350098.00)   00000 (  4.7%),6095,1300,1380,280,890,130,2115,1370,750
5350099,0099.00 (5350099.00)   00000 (  4.5%),5620,490,1010,180,875,135,2925,1790,1135
5350100,0100.00 (5350100.00)   00100 (  4.5%),2355,240,360,95,415,65,1185,705,485
5350101,0101.00 (5350101.00)   00001 (  6.3%),2810,265,500,110,430,45,1465,935,530
5350102.02,0102.02 (5350102.02)   00000 (  4.5%),3945,305,715,170,610,150,2000,1160,835
5350102.03,0102.03 (5350102.03)   00000 (  4.9%),3330,220,585,110,610,90,1720,1090,630
5350102.04,0102.04 (5350102.04)   00001 (  4.8%),505,40,75,0,100,10,280,145,135
5350102.05,0102.05 (5350102.05)   00001 (  7.0%),675,70,125,20,105,20,325,210,120
5350103,0103.00 (5350103.00)   00000 (  4.3%),4900,405,720,110,675,110,2880,1580,1305
5350104,0104.00 (5350104.00)   00000 (  4.1%),4470,430,675,90,545,50,2675,1485,1195
5350105,0105.00 (5350105.00)   00101 (  6.9%),3755,495,820,155,580,50,1660,1005,655
5350106,0106.00 (5350106.00)   00000 (  2.3%),3085,695,840,145,515,100,790,600,190
5350107,0107.00 (5350107.00)   00101 (  6.2%),4325,1475,1165,265,635,105,675,470,205
5350108,0108.00 (5350108.00)   00101 (  5.6%),5100,1630,1430,235,785,85,935,665,275
5350109,0109.00 (5350109.00)   00000 (  3.1%),4705,1225,1135,175,740,105,1320,930,395
5350110,0110.00 (5350110.00)   00101 (  4.8%),3165,785,775,190,410,80,925,655,265
5350111,0111.00 (5350111.00)   00101 (  6.4%),2125,800,570,110,310,35,300,205,95
5350112,0112.00 (5350112.00)   00001 (  6.1%),4585,1435,1070,335,570,80,1095,670,425
5350113,0113.00 (5350113.00)   00001 (  4.5%),2325,375,465,90,385,50,960,605,355
5350114,0114.00 (5350114.00)   00001 (  5.8%),4420,745,850,180,705,100,1840,1015,830
5350115,0115.00 (5350115.00)   00000 (  2.3%),3415,715,820,170,535,110,1060,665,395
5350116,0116.00 (5350116.00)   00000 (  4.8%),3545,400,620,75,470,110,1870,1090,780
5350117,0117.00 (5350117.00)   00001 (  6.5%),1930,105,285,20,225,25,1270,750,520
5350118,0118.00 (5350118.00)   00000 (  4.1%),3655,195,705,120,420,60,2165,1105,1060
5350119,0119.00 (5350119.00)   00000 (  4.0%),4060,195,705,75,520,80,2480,1455,1020
5350120,0120.00 (5350120.00)   00000 (  3.1%),1120,25,170,35,95,25,775,395,380
5350121,0121.00 (5350121.00)   00000 (  3.3%),2290,80,405,55,230,60,1465,700,760
5350122,0122.00 (5350122.00)   00000 (  3.7%),5575,260,890,125,710,200,3390,1915,1475
5350123,0123.00 (5350123.00)   00000 (  5.6%),2115,90,355,60,385,75,1150,715,435
5350124,0124.00 (5350124.00)   00000 (  5.5%),4845,240,815,100,625,175,2895,1550,1340
5350125,0125.00 (5350125.00)   00000 (  3.9%),3580,290,465,40,270,95,2420,1375,1045
5350126,0126.00 (5350126.00)   00000 (  3.4%),3355,250,500,75,425,85,2020,1215,805
5350127,0127.00 (5350127.00)   00000 (  2.2%),4345,335,795,80,595,90,2455,1350,1105
5350128.02,0128.02 (5350128.02)   00001 (  6.2%),7550,335,1150,185,1045,230,4605,2805,1790
5350128.04,0128.04 (5350128.04)   00000 (  5.6%),4200,215,665,110,675,115,2415,1410,1000
5350128.05,0128.05 (5350128.05)   01000 (  1.9%),575,20,105,10,65,15,365,210,150
5350128.06,0128.06 (5350128.06)   00000 (  4.4%),3860,170,615,110,640,125,2195,1370,825
5350129,0129.00 (5350129.00)   00000 (  3.1%),4775,255,650,100,560,125,3085,1800,1285
5350130,0130.00 (5350130.00)   00000 (  2.9%),2865,180,520,40,240,100,1785,975,805
5350131,0131.00 (5350131.00)   00000 (  2.4%),4640,395,735,60,495,130,2825,1425,1400
5350132,0132.00 (5350132.00)   00000 (  5.3%),4355,375,765,120,470,165,2455,1375,1080
5350133,0133.00 (5350133.00)   00000 (  5.3%),6260,505,1425,235,970,270,2860,1645,1220
5350134,0134.00 (5350134.00)   00000 (  4.8%),2280,150,300,35,195,50,1550,860,690
5350135,0135.00 (5350135.00)   00000 (  3.6%),5220,325,775,130,710,110,3175,1825,1350
5350136.01,0136.01 (5350136.01)   00000 (  4.9%),5685,405,1070,170,1020,160,2860,1885,970
5350136.02,0136.02 (5350136.02)   00001 (  5.0%),4685,350,870,125,725,135,2480,1585,890
5350137,0137.00 (5350137.00)   00000 (  3.5%),6080,440,990,165,845,155,3490,2150,1340
5350138,0138.00 (5350138.00)   00000 (  1.5%),2570,195,385,75,230,45,1645,920,720
5350139.01,0139.01 (5350139.01)   00000 (  1.8%),3465,215,490,65,405,120,2170,1190,980
5350139.02,0139.02 (5350139.02)   00000 (  3.3%),2120,205,340,30,145,50,1345,715,625
5350140,0140.00 (5350140.00)   00000 (  3.7%),1830,165,310,10,150,20,1175,620,560
5350141.01,0141.01 (5350141.01)   00000 (  2.7%),3375,275,505,85,345,100,2065,1250,815
5350141.02,0141.02 (5350141.02)   00000 (  0.4%),3495,285,595,65,330,65,2160,1345,815
5350142,0142.00 (5350142.00)   00000 (  1.9%),4410,315,650,105,460,110,2770,1550,1225
5350150,0150.00 (5350150.00)   00000 (  3.5%),3415,275,520,110,330,55,2120,1145,980
5350151,0151.00 (5350151.00)   00001 (  5.9%),2875,575,695,150,550,70,825,515,315
5350152,0152.00 (5350152.00)   00000 (  6.3%),3550,525,710,135,605,80,1490,975,520
5350153,0153.00 (5350153.00)   00001 (  6.5%),3765,1060,1055,230,655,105,655,515,140
5350154,0154.00 (5350154.00)   00000 (  4.0%),5465,1385,1465,400,975,110,1130,725,405
5350155,0155.00 (5350155.00)   00001 (  8.7%),2410,775,695,225,390,60,275,195,75
5350156.01,0156.01 (5350156.01)   00001 (  8.0%),4715,1710,1535,355,635,120,360,250,110
5350156.02,0156.02 (5350156.02)   00001 (  7.5%),2380,760,730,190,360,60,280,230,45
5350157,0157.00 (5350157.00)   00101 (  7.1%),2195,570,660,165,400,70,330,190,145
5350158,0158.00 (5350158.00)   00101 (  8.0%),2560,875,750,190,385,70,290,240,55
5350159.01,0159.01 (5350159.01)   00001 (  3.7%),2890,1205,790,145,345,50,345,250,90
5350159.02,0159.02 (5350159.02)   00000 (  5.2%),3985,1555,1130,195,545,85,470,350,125
5350160,0160.00 (5350160.00)   00000 (  4.2%),2495,1055,605,175,415,35,205,145,65
5350161,0161.00 (5350161.00)   00001 (  5.3%),5925,1870,1570,405,970,150,960,710,250
5350162,0162.00 (5350162.00)   00001 (  6.0%),4115,1250,1075,220,595,165,810,615,200
5350163,0163.00 (5350163.00)   00001 (  5.7%),3795,955,870,180,555,50,1200,715,480
5350164,0164.00 (5350164.00)   00100 (  2.6%),5150,1070,1130,250,795,125,1780,1105,680
5350165,0165.00 (5350165.00)   00000 (  4.5%),3605,355,710,110,445,115,1875,1070,800
5350166,0166.00 (5350166.00)   00000 (  4.1%),3380,255,550,65,440,90,1980,1070,910
5350167.01,0167.01 (5350167.01)   00000 (  4.9%),1790,115,350,45,250,60,965,500,465
5350167.02,0167.02 (5350167.02)   00000 (  4.0%),5085,525,960,200,1005,190,2200,1365,840
5350168,0168.00 (5350168.00)   00101 (  5.4%),4775,1180,1110,265,765,160,1300,845,450
5350169.01,0169.01 (5350169.01)   00001 (  6.7%),3015,620,860,170,575,140,650,495,155
5350169.02,0169.02 (5350169.02)   00000 (  5.3%),6410,880,1485,350,1060,240,2400,1600,800
5350170,0170.00 (5350170.00)   00001 (  5.8%),2935,1045,740,170,535,85,355,270,85
5350171,0171.00 (5350171.00)   00101 (  6.0%),3125,1035,910,230,485,95,370,275,95
5350172,0172.00 (5350172.00)   00101 (  8.0%),2125,575,600,240,405,65,240,165,75
5350173,0173.00 (5350173.00)   00101 (  9.7%),3030,860,945,220,480,110,415,255,160
5350174,0174.00 (5350174.00)   00001 (  6.2%),5645,1385,1785,310,1105,165,900,600,300
5350175.01,0175.01 (5350175.01)   00101 (  5.9%),4940,1415,1400,365,1020,75,660,480,180
5350175.02,0175.02 (5350175.02)   00101 (  7.6%),6240,1565,1835,435,1315,165,920,635,290
5350176,0176.00 (5350176.00)   00001 (  5.1%),3425,645,945,295,630,95,815,585,230
5350180,0180.00 (5350180.00)   00001 (  6.5%),5280,895,1410,230,1030,170,1550,985,565
5350181.01,0181.01 (5350181.01)   00000 (  4.6%),3680,550,880,125,705,65,1365,825,535
5350181.02,0181.02 (5350181.02)   00001 (  4.6%),3010,465,880,195,525,55,885,615,275
5350182,0182.00 (5350182.00)   00000 (  2.7%),4400,720,920,150,800,90,1725,1020,710
5350183.01,0183.01 (5350183.01)   00000 (  2.3%),2230,375,545,90,385,50,780,490,290
5350183.02,0183.02 (5350183.02)   00000 (  0.2%),3250,515,680,115,480,60,1400,965,430
5350184.01,0184.01 (5350184.01)   00000 (  4.7%),4175,890,900,205,690,140,1350,865,480
